INSERT INTO Candidate VALUES ('C001',  'Arpitha', 'Kulkarni', 9098288, 'BJP', 1 , 1751, 'EL002');
INSERT INTO Candidate VALUES ('C462',  'Pranit', 'Shroff', 5785574, 'BJP', 96 , 1298, 'EL003');
INSERT INTO Candidate VALUES ('C463',  'Rohan', 'Gupta', 8475681, 'INC', 96 , 1676, 'EL003');
INSERT INTO Candidate VALUES ('C464',  'Pramitha', 'Ramesh', 6561332, 'BSP', 96 , 1685, 'EL003');
INSERT INTO Candidate VALUES ('C465',  'Charan', 'Belligatti', 9472652, 'TMC', 96 , 2083, 'EL003');
INSERT INTO Candidate VALUES ('C466',  'Aryan', 'Saha', 6535037, 'JDU', 96 , 2150, 'EL003');
INSERT INTO Candidate VALUES ('C467',  'Ishwar', 'Rai', 6174391, 'TRS', 96 , 2190, 'EL003');
INSERT INTO Candidate VALUES ('C468',  'Ratnakar', 'Patil', 8034032, 'BJP', 97 , 1137, 'EL004');
INSERT INTO Candidate VALUES ('C469',  'Asha', 'Gupta', 9856418, 'INC', 97 , 1190, 'EL004');
INSERT INTO Candidate VALUES ('C470',  'Harshitha', 'Namnaik', 8730716, 'TRS', 97 , 1230, 'EL004');
INSERT INTO Candidate VALUES ('C471',  'Kavyashri', 'Kumar', 6463854, 'BSP', 97 , 1355, 'EL004');
INSERT INTO Candidate VALUES ('C472',  'Dhruv', 'Prabhakaran', 6376267, 'SP', 97 , 1452, 'EL004');
INSERT INTO Candidate VALUES ('C473',  'Jagat', 'Suvarna', 5416721, 'JDU', 97 , 1466, 'EL004');
INSERT INTO Candidate VALUES ('C474',  'Chinmayee', 'Uchil', 9154813, 'TMC', 97 , 1513, 'EL004');
INSERT INTO Candidate VALUES ('C475',  'Rayaan', 'Sheikh', 9488889, 'BJP', 98 , 2184, 'EL006');
INSERT INTO Candidate VALUES ('C476',  'Maanas', 'Bhat', 6234256, 'INC', 98 , 2534, 'EL006');
INSERT INTO Candidate VALUES ('C477',  'Orinder', 'Mendonsa', 9050816, 'BSP', 98 , 2560, 'EL006');
INSERT INTO Candidate VALUES ('C478',  'Chinmayee', 'Shroff', 8374436, 'SP', 98 , 2566, 'EL006');
INSERT INTO Candidate VALUES ('C479',  'Namratha', 'Dhamdhame', 6829372, 'TRS', 98 , 2764, 'EL006');
INSERT INTO Candidate VALUES ('C480',  'Devashree', 'Andrade', 7208793, 'BJP', 99 , 2111, 'EL002');
INSERT INTO Candidate VALUES ('C481',  'Rakshitha', 'Adiga', 5077508, 'INC', 99 , 2212, 'EL002');
INSERT INTO Candidate VALUES ('C482',  'Likhitha', 'Saniel', 9288220, 'TRS', 99 , 2376, 'EL002');
INSERT INTO Candidate VALUES ('C483',  'Dona', 'Kavser', 5358675, 'JDU', 99 , 2433, 'EL002');
INSERT INTO Candidate VALUES ('C484',  'Bakhshi', 'Dawangave', 7587894, 'BJP', 100 , 1868, 'EL008');
INSERT INTO Candidate VALUES ('C485',  'Siddharth', 'Prabhu', 6343710, 'INC', 100 , 2052, 'EL008');
INSERT INTO Candidate VALUES ('C486',  'Manbir', 'Rao', 6801371, 'JDU', 100 , 2162, 'EL008');
INSERT INTO Candidate VALUES ('C487',  'Kairav', 'Adiga', 8986724, 'SP', 100 , 2536, 'EL008');
INSERT INTO Candidate VALUES ('C488',  'Arin', 'Vernekar', 9139408, 'BJP', 101 , 2106, 'EL003');
INSERT INTO Candidate VALUES ('C489',  'Arundhati', 'Gatty', 7378444, 'INC', 101 , 2227, 'EL003');
INSERT INTO Candidate VALUES ('C490',  'Nishitha', 'Hiremath', 9712316, 'SS', 101 , 2694, 'EL003');
INSERT INTO Candidate VALUES ('C491',  'Anjali', 'Nagane', 6804320, 'BJP', 102 , 2034, 'EL005');
INSERT INTO Candidate VALUES ('C492',  'Pavati', 'Shet', 8715876, 'INC', 102 , 2108, 'EL005');
INSERT INTO Candidate VALUES ('C493',  'Bachittar', 'Belligatti', 5892273, 'SP', 102 , 2318, 'EL005');
INSERT INTO Candidate VALUES ('C494',  'Balveer', 'Hiremath', 9093681, 'TMC', 102 , 2338, 'EL005');
INSERT INTO Candidate VALUES ('C495',  'Yatin', 'Prabhu', 6904315, 'TRS', 102 , 2620, 'EL005');
INSERT INTO Candidate VALUES ('C496',  'Madhumita', 'Kavser', 8893926, 'BJP', 103 , 6220, 'EL006');
INSERT INTO Candidate VALUES ('C497',  'Aarush', 'Dhamdhame', 8673339, 'INC', 103 , 7094, 'EL006');
INSERT INTO Candidate VALUES ('C498',  'Dhanashri', 'Prabhu', 8055686, 'BJP', 104 , 1352, 'EL003');
INSERT INTO Candidate VALUES ('C499',  'Akash', 'Sullad', 8179466, 'INC', 104 , 1439, 'EL003');
INSERT INTO Candidate VALUES ('C500',  'Asmee', 'Gamskar', 5574129, 'JDU', 104 , 1455, 'EL003');
INSERT INTO Candidate VALUES ('C501',  'Karan', 'Prabhakaran', 5415839, 'TRS', 104 , 1783, 'EL003');
INSERT INTO Candidate VALUES ('C502',  'Aashish', 'Pai', 5742015, 'BJP', 105 , 1457, 'EL007');
INSERT INTO Candidate VALUES ('C503',  'Devashree', 'Moolya', 6536656, 'INC', 105 , 2443, 'EL007');
INSERT INTO Candidate VALUES ('C504',  'Hiya', 'Das', 9287603, 'AAP', 105 , 2465, 'EL007');
INSERT INTO Candidate VALUES ('C505',  'Richa', 'Rai', 6632687, 'BJP', 106 , 1128, 'EL001');
INSERT INTO Candidate VALUES ('C506',  'Harini', 'Gamskar', 7769536, 'INC', 106 , 1162, 'EL001');
INSERT INTO Candidate VALUES ('C507',  'Shylaja', 'Kini', 7378638, 'SS', 106 , 1295, 'EL001');
INSERT INTO Candidate VALUES ('C508',  'Akash', 'Saniel', 7033776, 'SP', 106 , 1326, 'EL001');
INSERT INTO Candidate VALUES ('C509',  'Adah', 'Taj', 9536649, 'DMK', 106 , 1368, 'EL001');
INSERT INTO Candidate VALUES ('C510',  'Reema', 'Mathew', 6382754, 'JDU', 106 , 1404, 'EL001');
INSERT INTO Candidate VALUES ('C511',  'Bakhshi', 'Anand', 6196504, 'AAP', 106 , 1436, 'EL001');
INSERT INTO Candidate VALUES ('C512',  'Chaithra', 'Bal', 9558484, 'BJP', 107 , 5964, 'EL008');
INSERT INTO Candidate VALUES ('C513',  'Falan', 'Adiga', 5979018, 'INC', 107 , 6447, 'EL008');
INSERT INTO Candidate VALUES ('C514',  'Harshil', 'Raval', 9138797, 'JDU', 107 , 6867, 'EL008');
INSERT INTO Candidate VALUES ('C515',  'Ranjani', 'Vernekar', 7808106, 'BJP', 108 , 11016, 'EL006');
INSERT INTO Candidate VALUES ('C516',  'Maanas', 'Uchil', 5141161, 'INC', 108 , 11020, 'EL006');
INSERT INTO Candidate VALUES ('C517',  'Anirudh', 'Rai', 9886163, 'TMC', 108 , 11022, 'EL006');
INSERT INTO Candidate VALUES ('C518',  'Kabir', 'Shenoy', 9534790, 'BJP', 109 , 11006, 'EL004');
INSERT INTO Candidate VALUES ('C519',  'Tanmay', 'Keshri', 5579503, 'INC', 109 , 11007, 'EL004');
INSERT INTO Candidate VALUES ('C520',  'Aishwarya', 'Singh', 6121363, 'DMK', 109 , 11011, 'EL004');
INSERT INTO Candidate VALUES ('C521',  'Taara', 'Bangera', 5312333, 'SP', 109 , 11012, 'EL004');
INSERT INTO Candidate VALUES ('C522',  'Saanvi', 'Chiplunkar', 6774957, 'BJP', 110 , 11005, 'EL005');
INSERT INTO Candidate VALUES ('C523',  'Aryan', 'Mugeraya', 6785625, 'INC', 110 , 11014, 'EL005');
INSERT INTO Candidate VALUES ('C524',  'Veer', 'Patil', 6485123, 'BSP', 110 , 11018, 'EL005');
INSERT INTO Candidate VALUES ('C525',  'Abhinav', 'Prajapati', 6802614, 'AAP', 110 , 11019, 'EL005');
INSERT INTO Candidate VALUES ('C526',  'Yatin', 'Shroff', 9002072, 'SS', 110 , 11023, 'EL005');
INSERT INTO Candidate VALUES ('C527',  'Yashika', 'Anand', 8822901, 'BJP', 111 , 11027, 'EL007');
INSERT INTO Candidate VALUES ('C528',  'Aloke', 'Shet', 9141003, 'INC', 111 , 11031, 'EL007');
INSERT INTO Candidate VALUES ('C529',  'Richa', 'Vernekar', 7319581, 'BJP', 112 , 11010, 'EL002');
INSERT INTO Candidate VALUES ('C530',  'Dona', 'Gatty', 7417151, 'INC', 112 , 11013, 'EL002');
INSERT INTO Candidate VALUES ('C531',  'Maanas', 'Namnaik', 5600180, 'SS', 112 , 11021, 'EL002');
INSERT INTO Candidate VALUES ('C532',  'Ajay', 'Babu', 7728048, 'BJP', 113 , 1135, 'EL001');
INSERT INTO Candidate VALUES ('C533',  'Ishita', 'Shayana', 8056053, 'INC', 113 , 1263, 'EL001');
INSERT INTO Candidate VALUES ('C534',  'Lakshit', 'Dsouza', 8826872, 'TMC', 113 , 1272, 'EL001');
INSERT INTO Candidate VALUES ('C535',  'Girindra', 'Das', 5734798, 'SP', 113 , 1391, 'EL001');
INSERT INTO Candidate VALUES ('C536',  'Prithvi', 'Babu', 5338018, 'AAP', 113 , 1412, 'EL001');
INSERT INTO Candidate VALUES ('C537',  'Sanjana', 'Shah', 9000443, 'JDU', 113 , 1448, 'EL001');
INSERT INTO Candidate VALUES ('C538',  'Shivansh', 'Mendonsa', 9433858, 'BSP', 113 , 1460, 'EL001');
INSERT INTO Candidate VALUES ('C539',  'Chinmayee', 'Dsouza', 9995257, 'TRS', 113 , 1504, 'EL001');
INSERT INTO Candidate VALUES ('C540',  'Prithvi', 'Salian', 8503655, 'BJP', 114 , 1050, 'EL003');
INSERT INTO Candidate VALUES ('C541',  'Keerthi', 'Taj', 8143542, 'INC', 114 , 1063, 'EL003');
INSERT INTO Candidate VALUES ('C542',  'Siddharth', 'Bhat', 5303682, 'TMC', 114 , 1076, 'EL003');
INSERT INTO Candidate VALUES ('C543',  'Aayushi', 'Rajesh', 6903469, 'SP', 114 , 1077, 'EL003');
INSERT INTO Candidate VALUES ('C544',  'Meghashree', 'Shetty', 7391089, 'JDU', 114 , 1095, 'EL003');
INSERT INTO Candidate VALUES ('C545',  'Hrithik', 'Kumar', 8068816, 'BSP', 114 , 1107, 'EL003');
INSERT INTO Candidate VALUES ('C546',  'Karan', 'Rai', 9801698, 'TRS', 114 , 1112, 'EL003');
INSERT INTO Candidate VALUES ('C547',  'Dharun', 'Babu', 7226439, 'SS', 114 , 1118, 'EL003');
INSERT INTO Candidate VALUES ('C548',  'Apoorva', 'Bhoja', 7169732, 'BJP', 115 , 1091, 'EL007');
INSERT INTO Candidate VALUES ('C549',  'Prisha', 'Kumar', 9486069, 'INC', 115 , 1105, 'EL007');
INSERT INTO Candidate VALUES ('C550',  'Pranay', 'Gupta', 8168380, 'TRS', 115 , 1117, 'EL007');
INSERT INTO Candidate VALUES ('C551',  'Vishishta', 'Shah', 8657152, 'SP', 115 , 1134, 'EL007');
INSERT INTO Candidate VALUES ('C552',  'Ananth', 'Das', 8355943, 'AAP', 115 , 1202, 'EL007');
INSERT INTO Candidate VALUES ('C553',  'Teerth', 'Kini', 9594220, 'JDU', 115 , 1235, 'EL007');
INSERT INTO Candidate VALUES ('C554',  'Yatin', 'Bharanya', 5474934, 'DMK', 115 , 1243, 'EL007');
INSERT INTO Candidate VALUES ('C555',  'Akhil', 'Bal', 5016916, 'SS', 115 , 1249, 'EL007');
INSERT INTO Candidate VALUES ('C556',  'Abhishek', 'Mendonsa', 9799548, 'BJP', 116 , 1029, 'EL002');
INSERT INTO Candidate VALUES ('C557',  'Sangeetha', 'Adiga', 9165158, 'INC', 116 , 1045, 'EL002');
INSERT INTO Candidate VALUES ('C558',  'Balveer', 'Sheikh', 7736835, 'SS', 116 , 1100, 'EL002');
INSERT INTO Candidate VALUES ('C559',  'Nishitha', 'Shah', 9736269, 'TRS', 116 , 1129, 'EL002');
INSERT INTO Candidate VALUES ('C560',  'Dileep', 'Rao', 6405593, 'BSP', 116 , 1216, 'EL002');
INSERT INTO Candidate VALUES ('C561',  'Kalpit', 'Holla', 5557307, 'DMK', 116 , 1229, 'EL002');
INSERT INTO Candidate VALUES ('C562',  'Shanaya', 'Saldanha', 6216245, 'AAP', 116 , 1324, 'EL002');
INSERT INTO Candidate VALUES ('C563',  'Arnav', 'Tipparti', 5530902, 'BJP', 117 , 2038, 'EL005');
INSERT INTO Candidate VALUES ('C564',  'Abeer', 'Fernandes', 6397121, 'INC', 117 , 2191, 'EL005');
INSERT INTO Candidate VALUES ('C565',  'Javeria', 'Acharya', 9446403, 'BJP', 118 , 1066, 'EL008');
INSERT INTO Candidate VALUES ('C566',  'Jayanth', 'Babu', 7114641, 'INC', 118 , 1424, 'EL008');
INSERT INTO Candidate VALUES ('C567',  'Yatan', 'Nagane', 5923472, 'SS', 118 , 1511, 'EL008');
INSERT INTO Candidate VALUES ('C568',  'Anirudh', 'Shah', 9002542, 'TRS', 118 , 1813, 'EL008');
INSERT INTO Candidate VALUES ('C569',  'Ved', 'Gatty', 9015597, 'BJP', 119 , 1259, 'EL006');
INSERT INTO Candidate VALUES ('C570',  'Sapna', 'Shenoy', 8938590, 'INC', 119 , 1393, 'EL006');
INSERT INTO Candidate VALUES ('C571',  'Bakhshi', 'Anchan', 6700476, 'JDU', 119 , 1428, 'EL006');
INSERT INTO Candidate VALUES ('C572',  'Advaith', 'Hiremath', 7843514, 'BSP', 119 , 1500, 'EL006');
INSERT INTO Candidate VALUES ('C573',  'Priya', 'Kumari', 8783284, 'TRS', 119 , 1581, 'EL006');
INSERT INTO Candidate VALUES ('C574',  'Prathiksha', 'Naik', 8985264, 'DMK', 119 , 1699, 'EL006');
INSERT INTO Candidate VALUES ('C575',  'Nishitha', 'Kumar', 9846742, 'BJP', 120 , 1606, 'EL004');
INSERT INTO Candidate VALUES ('C576',  'Lavanya', 'Mugeraya', 9347092, 'INC', 120 , 1651, 'EL004');
INSERT INTO Candidate VALUES ('C577',  'Anitha', 'Shet', 9448444, 'JDU', 120 , 1786, 'EL004');
INSERT INTO Candidate VALUES ('C578',  'Niva', 'Hiremath', 5822657, 'AAP', 120 , 2411, 'EL004');
INSERT INTO Candidate VALUES ('C579',  'Chaitra', 'Pujari', 9545282, 'BJP', 121 , 3155, 'EL006');
INSERT INTO Candidate VALUES ('C580',  'Asmee', 'Salian', 8758922, 'INC', 121 , 3226, 'EL006');
INSERT INTO Candidate VALUES ('C581',  'Arin', 'Kumar', 6406393, 'BJP', 122 , 1122, 'EL003');
INSERT INTO Candidate VALUES ('C582',  'Chandresh', 'Chatterjee', 7426219, 'INC', 122 , 1127, 'EL003');
INSERT INTO Candidate VALUES ('C583',  'Keerthi', 'Shah', 9561890, 'JDU', 122 , 1282, 'EL003');
INSERT INTO Candidate VALUES ('C584',  'Nachiket', 'Bangera', 6792723, 'SS', 122 , 1568, 'EL003');
INSERT INTO Candidate VALUES ('C585',  'Umang', 'Namnaik', 7982462, 'SP', 122 , 1617, 'EL003');
INSERT INTO Candidate VALUES ('C586',  'Ira', 'Bhat', 8844172, 'BJP', 123 , 1409, 'EL008');
INSERT INTO Candidate VALUES ('C587',  'Charan', 'Bangera', 9539719, 'INC', 123 , 1701, 'EL008');
INSERT INTO Candidate VALUES ('C588',  'Udarsh', 'Saniel', 9337963, 'DMK', 123 , 1749, 'EL008');
INSERT INTO Candidate VALUES ('C589',  'Ayush', 'Uchil', 7561254, 'BSP', 123 , 1820, 'EL008');
INSERT INTO Candidate VALUES ('C590',  'Nagraj', 'Gatty', 6707923, 'BJP', 124 , 1613, 'EL004');
INSERT INTO Candidate VALUES ('C591',  'Nirav', 'Kavser', 7912010, 'INC', 124 , 1896, 'EL004');
INSERT INTO Candidate VALUES ('C592',  'Monali', 'Namnaik', 5576100, 'SS', 124 , 1936, 'EL004');
INSERT INTO Candidate VALUES ('C593',  'Ananth', 'Kamath', 5073213, 'JDU', 124 , 2475, 'EL004');
INSERT INTO Candidate VALUES ('C594',  'Ratnakar', 'Fernandes', 9547907, 'TRS', 124 , 2943, 'EL004');
INSERT INTO Candidate VALUES ('C595',  'Dwarakanath', 'Salian', 9361367, 'BJP', 125 , 1072, 'EL002');
INSERT INTO Candidate VALUES ('C596',  'Dileep', 'Padmanabha', 6040020, 'INC', 125 , 1200, 'EL002');
INSERT INTO Candidate VALUES ('C597',  'Vedant', 'Acharya', 8434547, 'TRS', 125 , 1564, 'EL002');
INSERT INTO Candidate VALUES ('C598',  'Anusree', 'Patil', 5146050, 'AAP', 125 , 1635, 'EL002');
INSERT INTO Candidate VALUES ('C599',  'Mayra', 'Moolya', 8355561, 'BJP', 126 , 2317, 'EL006');
INSERT INTO Candidate VALUES ('C600',  'Rachit', 'Bharanya', 8213862, 'INC', 126 , 2600, 'EL006');
INSERT INTO Candidate VALUES ('C601',  'Rushil', 'Bhoja', 8002120, 'SP', 126 , 3373, 'EL006');
INSERT INTO Candidate VALUES ('C602',  'Harsh', 'Dsouza', 8662870, 'BJP', 127 , 1034, 'EL002');
INSERT INTO Candidate VALUES ('C603',  'Idhant', 'Mathew', 8780222, 'INC', 127 , 1047, 'EL002');
INSERT INTO Candidate VALUES ('C604',  'Aryan', 'Jain', 8849095, 'JDU', 127 , 1153, 'EL002');
INSERT INTO Candidate VALUES ('C605',  'Ekansh', 'Shukla', 8667139, 'TRS', 127 , 1155, 'EL002');
INSERT INTO Candidate VALUES ('C606',  'Aditya', 'Moolya', 9506411, 'BSP', 127 , 1159, 'EL002');
INSERT INTO Candidate VALUES ('C607',  'Priya', 'Holla', 6585438, 'TMC', 127 , 1193, 'EL002');
INSERT INTO Candidate VALUES ('C608',  'Lakshit', 'Shetty', 9774649, 'SS', 127 , 1271, 'EL002');
INSERT INTO Candidate VALUES ('C609',  'Pranav', 'Bangera', 6682701, 'BJP', 128 , 1008, 'EL007');
INSERT INTO Candidate VALUES ('C610',  'Saanvi', 'Kumari', 9312193, 'INC', 128 , 1067, 'EL007');
INSERT INTO Candidate VALUES ('C611',  'Ishita', 'Mugeraya', 8996567, 'AAP', 128 , 1089, 'EL007');
INSERT INTO Candidate VALUES ('C612',  'Umang', 'Prabhu', 9143933, 'TMC', 128 , 1126, 'EL007');
INSERT INTO Candidate VALUES ('C613',  'Aashish', 'Kavser', 8785362, 'DMK', 128 , 1133, 'EL007');
INSERT INTO Candidate VALUES ('C614',  'Nihal', 'Dsouza', 6280124, 'SP', 128 , 1152, 'EL007');
INSERT INTO Candidate VALUES ('C615',  'Atharv', 'Naik', 9782739, 'SS', 128 , 1227, 'EL007');
INSERT INTO Candidate VALUES ('C616',  'Gunbir', 'Nand', 5283488, 'TRS', 128 , 1307, 'EL007');
